full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"214 College Street, Toronto, ON, M5T 2Z9",1,NA,NA,NA,NA,NA,Owned by others
"229 College Street, Toronto, ON, M5T 1R4",1,NA,NA,NA,NA,NA,Owned by others
"230 College Street, Toronto, ON, M5T 1R2",1,1,NA,NA,NA,NA,Owned by others
"239 College Street, Toronto, ON, M5T 1R5",1,NA,NA,1,1,NA,City Operated
"284 College Street, Toronto, ON, M5T 1S2",NA,1,NA,NA,NA,NA,Owned by others
"294 College Street , Toronto, ON, M5T 1R9",NA,1,NA,NA,NA,NA,Owned by others
"320 College Street, Toronto, ON, M5S 2K3",1,1,NA,NA,1,1,Owned by others
"430 College Street, Toronto, ON, M5T 1T3",1,NA,NA,NA,NA,1,Owned by others
"431 College Street, Toronto, ON, M5T 1S9",1,NA,NA,NA,NA,NA,Owned by others
"321 Davenport Road, Toronto, ON, M5R 1K5
",NA,1,NA,NA,NA,NA,Owned by others
"12 Denison Avenue, Toronto, ON, M5T 1A3",NA,NA,NA,NA,1,NA,Owned by others
"1 Devonshire Place, Toronto, ON, M5S 3K7",NA,1,NA,NA,1,1,Owned by others
"15 Devonshire Place, Toronto, ON, M5S 2C8",1,NA,NA,NA,NA,1,Owned by others
"275 Dundas Street West, Toronto, ON, M5T 1G1",NA,1,NA,NA,NA,NA,Owned by others
"285 Dundas Street West, Toronto, ON, M5T 2Z5",NA,1,NA,NA,NA,NA,Owned by others
"317 Dundas Street West, Toronto, ON, M5T 1G4",1,1,1,NA,1,1,Owned by others
"334 Dundas Street West, Toronto, ON, M5T 1G6",NA,1,NA,NA,NA,1,Owned by others
"334 Dundas Street West, Toronto, ON, M5A 2A4",1,NA,NA,NA,1,1,Owned by others
"340 Dundas Street West, Toronto, ON, M5T 1G5",NA,1,NA,NA,NA,1,Owned by others
"580 Dundas Street West, Toronto, ON, M5T 1H5",NA,NA,NA,NA,1,NA,Owned by others
"707 Dundas Street West, Toronto, ON, M5T 2W6",NA,NA,NA,NA,1,NA,City Owned
"250 Front Street West, Toronto, ON, M5A 1E9",1,1,1,NA,NA,NA,Owned by others
"255 Front Street West, Toronto, ON, M5Y2W6",1,1,NA,NA,1,NA,City Operated
"4 Glen Morris Street, Toronto, ON, M5S 1H9",1,NA,NA,NA,NA,1,Owned by others
"23 Grange Road, Toronto, ON, M5T 1G3",1,NA,NA,NA,1,NA,City Owned
"73 Harbord Street, Toronto, ON, M5S 2H7",NA,1,NA,NA,NA,NA,Owned by others
"79 Harbord Street, A, Toronto, ON, M5S 1G4",NA,1,NA,NA,1,NA,Owned by others
"84 Harbord Street, Toronto, ON, M5S 1G5",1,1,NA,NA,NA,NA,Owned by others
"112 Harbord Street, Toronto, ON, M5S 1G6",NA,1,NA,NA,NA,NA,Owned by others
"209 Harbord Street, Toronto, ON, M5S 1H6",NA,1,NA,NA,NA,NA,Owned by others
"7 Hart House Circle, Toronto, ON, M5S 3H3",1,1,1,NA,1,1,Owned by others
"5 Hoskin Avenue, Toronto, ON, M5S 1H7",1,NA,NA,NA,1,1,Owned by others
"383 Huron Street, Toronto, ON, M5S 2G5",NA,NA,NA,NA,1,1,Owned by others
"496 Huron Street, Toronto, ON, M5R 2R3",1,1,NA,NA,1,1,Owned by others
"150 John Street, Toronto, ON, M5V 3C3",NA,NA,1,NA,NA,NA,Owned by others
"179 John Street, Toronto, ON, M5T 1X4",NA,1,NA,NA,NA,NA,Owned by others
"197 John Street, Toronto, ON, M5T 1X6",1,NA,NA,NA,NA,1,Owned by others
"205 John Street, Toronto, ON, M5T 1X6",NA,NA,NA,NA,1,1,Owned by others
"51 Kensington Avenue, Toronto, ON, M5T 2J8",1,NA,NA,NA,NA,NA,Owned by others
"60 Kensington Avenue, Unit 7, Toronto, ON, M5T 2J8",NA,1,NA,NA,NA,NA,Owned by others
"75 Kensington Avenue, Toronto, ON, M5t 2K2",NA,1,NA,NA,NA,NA,Owned by others
"163 King Street West, Toronto, ON, M5H 4C6",NA,1,NA,NA,1,NA,Owned by others
"165 King Street West, Toronto, ON, M5H 4H2",NA,1,NA,NA,NA,NA,Owned by others
"212 King Street West, Toronto, ON, M5V 3M2",1,NA,NA,NA,NA,1,Owned by others
"260 King Street West, Toronto, ON, M5V 1H8",1,NA,NA,NA,NA,1,Owned by others
"300 King Street West, Toronto, ON, M5V 1J2",1,NA,NA,NA,NA,NA,Owned by others
"350 King Street West, Toronto, ON, M5V 3X5",NA,NA,1,NA,NA,NA,Owned by others
"468 King Street West, Toronto, ON, M5V 1L8",NA,1,1,NA,NA,1,Owned by others
"577 King Street West, Toronto, ON, M5V 1M1",NA,1,NA,NA,NA,NA,Owned by others
"31 King's College Circle, Toronto, ON, M5S 3G4",NA,NA,NA,NA,1,NA,Owned by others
"1 King's College Circle, Toronto, ON, M5S 1A8",1,NA,NA,NA,1,NA,Owned by others
"15 King's College Circle, Toronto, ON, M5S 3H7",NA,1,NA,NA,1,NA,Owned by others
"188 Lowther Avenue, Toronto, ON, M5R 1E8",1,NA,NA,NA,NA,1,Owned by others
"188 Lowther Avenue, A, Toronto, ON, M5R 1E8",1,NA,NA,NA,1,1,Owned by others
"823 Manning Avenue, Toronto, ON, M6G 2W9",NA,NA,NA,NA,1,1,Owned by others
"29 McCaul Street, Toronto, ON, M5T 1V7",1,1,NA,NA,NA,NA,Owned by others
"52 McCaul Street, Toronto, ON, M5T 1V9",NA,1,NA,NA,1,NA,Owned by others
"60 McCaul Street, Toronto, ON, M5T 1V9",NA,1,NA,NA,NA,NA,Owned by others
"131 McCaul Street, Toronto, ON, M5T 1W4",1,NA,NA,NA,1,NA,Owned by others
"51 Mercer Street, Toronto, ON, M5V 9G9",1,NA,NA,NA,NA,NA,Owned by others
"560 Palmerston Avenue, Toronto, ON, M6G 2P7",1,NA,NA,1,1,NA,City Operated
"843 Palmerston Avenue, Toronto, ON, M6G 2R8",NA,NA,NA,NA,1,NA,City Owned
"70 Peter Street, Toronto, ON, M5V 2G5",1,NA,NA,NA,NA,NA,Owned by others
"111 Peter Street, Suite 125, Toronto, ON, M5V 2H1",NA,1,NA,NA,1,NA,Owned by others
"107 Portland Street, Toronto, ON, M5V 2N3",NA,1,NA,NA,NA,NA,Owned by others
"23 Prince Arthur Avenue, Toronto, ON, M5R 1B2",NA,1,NA,NA,NA,1,Owned by others
"160 Queen Street West, Toronto, ON, M5H 3H3",NA,1,NA,NA,NA,1,Owned by others
"194 Queen Street West, Toronto, ON, M5V 1Z5",1,NA,NA,NA,1,1,Owned by others
"370 Queen Street West, Toronto, ON, M5V 2A2",1,NA,NA,NA,NA,1,Owned by others
"408 Queen Street West, Toronto, ON, M5V 2A6",1,1,NA,NA,1,1,Owned by others
"474 Queen Street West, Toronto, ON, M5B 2B2",NA,1,NA,NA,NA,1,Owned by others
"489 Queen Street West, 3rd Floor, Toronto, ON, M5V 2V4",1,NA,NA,NA,NA,1,Owned by others
"489 Queen Street West, Toronto, ON, M5V 2B4",NA,1,NA,NA,NA,1,Owned by others
"510 Queen Street West, Toronto, ON, M5V 2B3",1,NA,NA,NA,NA,NA,Owned by others
"512 Queen Street West, Toronto, ON, M5V 2B3",1,NA,NA,NA,NA,1,Owned by others
"557 Queen Street West, Toronto, ON, M6G 3T5",NA,1,NA,NA,NA,1,Owned by others
"570 Queen Street West, Toronto, ON, M5V 2B5",NA,1,NA,NA,NA,NA,Owned by others
"627 Queen Street West, Toronto, ON, M5V 2B7",NA,1,NA,NA,NA,1,Owned by others
"639 Queen Street West, Toronto, ON, M5V 2B7",NA,1,NA,NA,NA,1,Owned by others
"100 Queen's Park, Toronto, ON, M5S 1T2",1,1,1,NA,NA,NA,Owned by others
"80 Queen's Park Crescent, Toronto, ON, M5S 2C5",1,NA,NA,NA,NA,NA,Owned by others
"207 Queens Quay West, Toronto, ON, M5J 1A7",1,NA,NA,NA,NA,NA,Owned by others
"231 Queens Quay West, Toronto, ON, M5S 2G8",NA,1,NA,NA,NA,NA,Owned by others
"231 Queens Quay West, Toronto, ON, M5J 2G8",1,1,1,NA,NA,NA,Owned by others
"235 Queens Quay West, Toronto, ON, M5J 2G8",1,NA,1,NA,1,NA,City Owned
"470 Queens Quay West, Toronto, ON, M5V 3K4",NA,1,1,NA,NA,NA,Owned by others
"479 Queens Quay West, Toronto, ON, M6G 2B2",1,NA,NA,NA,1,NA,City Operated
"627 Queens Quay West, Toronto, ON, M5V 3G3",NA,NA,NA,NA,1,NA,City Owned
"680 Queen's Quay West, Toronto, ON, M5V 2Y9",NA,1,NA,NA,1,NA,Owned by others
"401 Richmond Street West, Suite 350, Toronto, ON, M5V 3A8",1,NA,NA,NA,1,NA,Owned by others
"205 Richmond Street West, Toronto, ON, M5V 1V6",NA,1,NA,NA,NA,NA,Owned by others
"224 Richmond Street West, Toronto, ON, M5V 1V6",1,NA,NA,NA,NA,NA,Owned by others
"230 Richmond Street West, Toronto, ON, M5V 2C5",NA,1,NA,NA,NA,NA,Owned by others
"259 Richmond Street West, Toronto, ON, M5V 3M6",NA,NA,1,NA,NA,1,Owned by others
"372 Richmond Street West, Suite 303, Toronto, ON, M5V 1X6",NA,NA,1,NA,NA,NA,Owned by others
"388 Richmond Street West, Toronto, ON, M5V 3P1",NA,1,NA,NA,NA,NA,Owned by others
"401 Richmond Street West, Suite 110, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite B104, Toronto, ON, M5V 3A8",1,NA,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 366, Toronto, ON, M5V 3A8",1,NA,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 245, Toronto, ON, M6K 3E7",NA,NA,1,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 440, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 445, Toronto, ON, M5V 3A8",1,NA,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 120, Toronto, ON, M5V 3A8",1,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 104, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 124, Toronto, ON, M5V 3A8",NA,1,1,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 115, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 450, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 384, Toronto, ON, M5V 3A8",1,NA,NA,NA,1,1,Owned by others
"401 Richmond Street West, Suite 376, Toronto, ON, M5V 3A8",NA,1,1,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 452, Toronto, ON, M5V 3A8",NA,NA,1,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 122, Toronto, ON, M5V 3A8",1,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 128, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"401 Richmond Street West, Suite 140, Toronto, ON, M5V 3A8",NA,1,NA,NA,NA,1,Owned by others
"452 Richmond Street West, Toronto, ON, M5V 1Y1",NA,1,NA,NA,1,1,Owned by others
"477 Richmond Street West, Unit 104, Toronto, ON, M5V 1X9",1,1,NA,NA,NA,NA,Owned by others
"588 Richmond Street West, Toronto, ON, M5V 1Y9",NA,NA,NA,NA,1,NA,Owned by others
"16 Ryerson Avenue, Toronto, ON, M5T 2P3",1,NA,NA,NA,1,1,City Owned
"60 Simcoe Street, Toronto, ON, M5J 2H5",1,NA,NA,NA,NA,1,Owned by others
"60 Simcoe Street, Toronto, ON, M5J 2H5",1,NA,NA,NA,NA,1,City Operated
"73 Simcoe Street, Toronto, ON, M5J1W9",NA,NA,NA,NA,1,1,Owned by others
"80 Spadina Avenue, Suite 305, Toronto, ON, M5V 2J4",NA,1,NA,NA,NA,1,Owned by others
"80 Spadina Avenue, Suite 406, Toronto, ON, M5V 2J4",NA,1,NA,NA,NA,1,Owned by others
"80 Spadina Avenue, Suite 404, Toronto, ON, M5V 2J4",NA,1,NA,NA,NA,1,Owned by others
"80 Spadina Avenue, Suite 207, Toronto, ON, M5V 2J4",NA,1,1,NA,NA,1,Owned by others
"80 Spadina Avenue, Suite 403, Toronto, ON, M5V 2J4",NA,1,NA,NA,NA,1,Owned by others
"101 Spadina Avenue, Suite 214, Toronto, ON, M5V 2K2",NA,1,NA,NA,NA,NA,Owned by others
"110 Spadina Avenue, Suite 500, Toronto, ON, M5V 2K4",NA,NA,1,NA,NA,1,Owned by others
"129 Spadina Avenue, Toronto, ON, M5V 2K8",NA,NA,1,NA,NA,NA,Owned by others
"170 Spadina Avenue, Toronto, ON, M5T 2C2",1,NA,NA,NA,NA,NA,Owned by others
"186 Spadina Avenue, Toronto, ON, M5T 3B2",NA,NA,1,NA,NA,NA,Owned by others
"215 Spadina Avenue, Toronto, ON, M5T 2C7",1,NA,NA,NA,1,NA,Owned by others
"379 Spadina Avenue, Toronto, ON, M5T 2G7",1,NA,NA,NA,NA,NA,Owned by others
"464 Spadina Avenue, Toronto, ON, M5T 2G8",1,1,NA,NA,NA,NA,Owned by others
"486 Spadina Avenue, Toronto, ON, M5S 3E6",1,NA,NA,NA,1,NA,Owned by others
"620 Spadina Avenue, Toronto, ON, M5S 2H4",1,NA,NA,NA,NA,NA,Owned by others
"750 Spadina Avenue, Toronto, ON, M5S 2J2",1,NA,1,NA,1,NA,Owned by others
"10 Spadina Road, Toronto, ON, M5R 2S9",NA,NA,NA,1,NA,NA,City Operated
"16 Spadina Road, Toronto, ON, M5R 2S7",1,NA,NA,NA,1,1,Owned by others
"24 Spadina Road, Toronto, ON, M5R 2S7",1,1,NA,NA,1,NA,Owned by others
"79 St. George Street, A, Toronto, ON, M5S 2E5",1,NA,NA,NA,NA,NA,Owned by others
"89 St. George Street, Toronto, ON, M5S 2E8",NA,NA,NA,NA,1,1,City Owned
"91 St. George Street, Toronto, ON, M5S 2E8",NA,NA,1,NA,NA,1,Owned by others
"140 St. George Street, Toronto, ON, M5S 3G6",NA,NA,NA,NA,1,1,Owned by others
"162 St. George Street, Toronto, ON, M5S 2E9",NA,NA,NA,NA,1,NA,Owned by others
"170 St. George Street, Toronto, ON, M5S 3C5",1,NA,NA,NA,1,1,Owned by others
"222 St. Patrick Street, Toronto, ON, M5T 1V4",1,NA,NA,NA,NA,NA,Owned by others
"2 Sussex Avenue, Toronto, ON, M5S 1J5",1,NA,NA,NA,1,NA,Owned by others
"8 Waterloo Terrace, Toronto, ON, M5V 3S4",NA,1,NA,NA,NA,NA,Owned by others
"270 Wellington Street West, Toronto, ON, M5V3P5",NA,1,NA,NA,NA,NA,Owned by others
"439 Wellington Street West, Studio 206, Toronto, ON, M5V 1E7",1,NA,NA,NA,NA,NA,Owned by others
"550 Wellington Street West, Toronto, ON, M5V 2V4",NA,1,NA,NA,1,NA,Owned by others
"20 Willcocks Street, Toronto, ON, M5S 3G2",NA,1,NA,NA,1,NA,Owned by others
"45 Willcocks Street, Toronto, ON, M5S 1C7",1,NA,NA,NA,NA,NA,Owned by others
"350 King Street West, 4th Floor, Toronto, ON, M5V 3X5",NA,NA,1,NA,NA,NA,Owned by others
"501 Arlington Avenue, Toronto, ON, M6C 3A4",NA,NA,NA,NA,1,NA,Owned by others
"145 Ava Road, Toronto, ON, M6C 1W4",1,NA,NA,NA,1,NA,Owned by others
"1339 Bathurst Street, Toronto, ON, M5R 3H6",NA,NA,NA,NA,1,NA,City Operated
"1362 Bathurst Street, Toronto, ON, M5R 3H7",1,NA,NA,NA,NA,NA,Owned by others
"1431 Bathurst Street, Toronto, ON, M5R 3J2",NA,NA,NA,1,1,NA,City Operated
"1515 Bathurst Street, Toronto, ON, M5P 3H4",1,1,NA,NA,1,NA,Owned by others
"1700 Bathurst Street, Toronto, ON, M5P 3K3",NA,NA,NA,NA,1,NA,Owned by others
"1950 Bathurst Street, Toronto, ON, M5P 3K4",1,1,NA,NA,NA,1,Owned by others
"9 Benson Avenue, Toronto, ON, M6G 4C6",1,NA,NA,NA,NA,NA,Owned by others
"30 Bridgman Avenue, Toronto, ON, M5R 1X3",1,NA,NA,NA,1,NA,Owned by others
"15 Cherrywood Avenue, Toronto, ON, M6C 2X4",NA,NA,NA,NA,1,NA,Owned by others
"601 Christie Street, Studio 252, Toronto, ON, M6G 4C6",NA,NA,NA,NA,NA,1,Owned by others
"911 Davenport Road, Toronto, ON, M6G 2B7",NA,1,NA,NA,NA,NA,Owned by others
"175 Wynford Drive, Toronto, ON, M3C 1J3
",NA,1,NA,NA,1,NA,Owned by others
"666 Eglinton Avenue West, Toronto, ON, M5N 1C3",NA,1,NA,NA,1,NA,Owned by others
"700 Eglinton Avenue West, Toronto, ON, M5N 1B9",NA,NA,NA,1,NA,NA,City Owned
"707 Eglinton Avenue West, Suite 208, Toronto, ON, M5N 1C8",1,NA,NA,NA,NA,NA,Owned by others
"897 Eglinton Avenue West, Toronto, ON, M6C 2C1",NA,NA,NA,NA,1,NA,Owned by others
"1016 Eglinton Avenue West, Toronto, ON, M6C 2C5",NA,1,NA,NA,NA,NA,Owned by others
"84 Hillcrest Drive, Toronto, ON, M6G 2E6",1,NA,NA,NA,NA,NA,Owned by others
"160 Kendal Avenue, Toronto, ON, M5T 2T9",1,NA,1,NA,1,NA,Owned by others
"285 Rushton Road, Toronto, ON, M6C 2X5",1,NA,NA,NA,1,NA,Owned by others
"1246 Shaw Street, Toronto, ON, M6G 3N9",1,NA,NA,1,1,NA,City Owned
"410 Spadina Avenue, Toronto, ON, M5P 2W2",NA,1,NA,NA,NA,NA,Owned by others
"446 Spadina Avenue, Suite 203, Toronto, ON, M5P 3M2",1,NA,NA,NA,NA,NA,Owned by others
"611 St. Clair Avenue West, Toronto, ON, MC6 1A3",NA,NA,1,NA,NA,1,Owned by others
"681 St. Clair Avenue West, Toronto, ON, M6C 1A7",1,1,NA,NA,NA,NA,Owned by others
"729 St. Clair Avenue West, Toronto, ON, M6C 1B4",1,NA,NA,NA,1,1,Owned by others
"730 St. Clair Avenue West, Toronto, ON, M6C 1B3",1,NA,NA,NA,NA,NA,Owned by others
"778 St. Clair Avenue West, Toronto, ON, M6C 1B6",1,1,NA,NA,NA,NA,Owned by others
"805 St. Clair Avenue West, Toronto, ON, M6C 1B9",1,NA,NA,NA,NA,NA,Owned by others
"814 St. Clair Avenue West, Toronto, ON, M6C 1B6",NA,1,NA,NA,NA,NA,Owned by others
"50 Vaughan Road, Toronto, ON, M6G 2N4",NA,1,1,NA,NA,NA,Owned by others
"328 Walmer Road, Toronto, ON, M5R 2Y4",NA,NA,NA,NA,1,NA,City Owned
"330 Walmer Road, Toronto, ON, M5R 2Y4",NA,NA,NA,NA,1,NA,City Owned
"76 Wychwood Avenue, Toronto, ON, M6G 4C6",1,1,NA,NA,1,1,City Owned
"1 Austin Terrace, Toronto, ON, M5R 1X8",1,1,NA,NA,1,1,City Owned
"454 Avenue Road, Toronto, ON, M4V 2J1",NA,NA,NA,NA,1,NA,City Owned
"460 Avenue Road, Toronto, ON, M4V 2J1",1,1,NA,NA,1,NA,Owned by others
"555 Avenue Road, Toronto, ON, M4V 2J7",1,1,NA,NA,1,NA,Owned by others
"1578 Bayview Avenue, Suite 3, Toronto, ON, M4G 3B7",1,NA,NA,NA,NA,NA,Owned by others
"10 Clarendon Avenue, Toronto, ON, M4V 1H9",NA,1,NA,NA,NA,NA,Owned by others
"181 Cleveland Street, Toronto, ON, M4S 3C1",NA,NA,NA,NA,1,NA,City Owned
"26 Delisle Avenue, Toronto, ON, M4V 1S5",1,NA,NA,NA,1,NA,Owned by others
"101 Eglinton Avenue East, Toronto, ON, M4P 2H7
",1,NA,NA,NA,1,NA,Owned by others
"160 Eglinton Avenue East, Toronto, ON, M4P 3B5",NA,NA,NA,NA,1,NA,Owned by others
"173 Eglinton Avenue West, Toronto, ON, M4R 1A8",1,NA,1,NA,1,NA,Owned by others
"562 Eglinton Avenue East, Toronto, ON, M4P 1P1",1,NA,NA,NA,NA,NA,Owned by others
"131 Farnham Avenue, Toronto, ON, M4V 1H7",1,NA,NA,NA,NA,NA,Owned by others
"200 Lonsdale Road, Toronto, ON, M4V 1W6",1,NA,NA,NA,NA,NA,Owned by others
"300 Lonsdale Road, Toronto, ON, M4V 1X4",1,NA,NA,NA,NA,NA,Owned by others
"111 Manor Road East, Toronto, ON, M4S 1R4",1,NA,NA,NA,NA,NA,Owned by others
"64 Merton Street, Toronto, ON, M4S 1A1",NA,1,NA,NA,NA,NA,Owned by others
"551 Mount Pleasant Road, Toronto, ON, M4S 2M5",NA,NA,1,NA,NA,NA,Owned by others
"599 Mount Pleasant Road, Toronto, ON, M4S 2M5",1,NA,NA,1,NA,NA,City Operated
"566 Mount Pleasant Road, Toronto, ON, M4S 2M8",1,NA,NA,NA,NA,NA,Owned by others
"255 Spadina Road, Toronto, ON, M5R 2V3",NA,1,NA,1,NA,NA,City Owned
"285 Spadina Road, Toronto, ON, M5R 2V5",NA,1,NA,NA,NA,1,City Owned
"427 Spadina Road, Toronto, ON, M5P 2W3",1,NA,NA,NA,NA,NA,Owned by others
"40 St. Clair Avenue East, Toronto, ON, M4T 1M9",1,NA,NA,1,NA,NA,City Owned
"175 St. Clair Avenue West, Toronto, ON, M4V 1P7",1,NA,1,NA,1,NA,Owned by others
"230 St. Clair Avenue West, Toronto, ON, M4V 1R5",1,NA,NA,NA,NA,NA,Owned by others
"1216 Yonge Street, 2nd Floor, Toronto, ON, M4T 1W1",1,NA,NA,NA,NA,NA,Owned by others
"1256 Yonge Street, Suite 100, Toronto, ON, M4T 1W5",1,NA,NA,NA,NA,NA,Owned by others
"1570 Yonge Street, Toronto, ON, M4T 1Z8",1,NA,NA,NA,NA,NA,Owned by others
"1585 Yonge Street, Toronto, ON, M4T 1Z9",1,NA,NA,NA,NA,NA,Owned by others
"2026 Yonge Street, Toronto, ON, M4S 1Z9",1,NA,NA,NA,NA,NA,Owned by others
"2035 Yonge Street, Toronto, ON, M4S 2A2",NA,NA,NA,NA,1,NA,Owned by others
"2190 Yonge Street, Toronto, ON, M4R 2H1",NA,NA,1,NA,NA,NA,Owned by others
"2335 Yonge Street, Toronto, ON, M4P 2C8",1,NA,NA,NA,NA,NA,Owned by others
"3080 Bayview Avenue, Toronto, ON, M2N 5L3",1,NA,NA,NA,1,NA,Owned by others
"49 Bogert Avenue, Toronto, ON, M2N 1K4",1,NA,NA,NA,1,NA,Owned by others
"89 Church Avenue, Toronto, ON, M2N 6C9",1,NA,NA,NA,1,NA,City Owned
"75 Churchill Avenue, Toronto, ON, M2N 1Y9",1,NA,NA,NA,1,NA,Owned by others
"38 Ellerslie Avenue, Toronto, ON, M2N 1X8",1,NA,NA,NA,1,NA,Owned by others
"131 Finch Avenue West, Toronto, ON, M2N 2H8",1,1,NA,NA,1,NA,City Owned
"45 Goulding Avenue, Toronto, ON, M2M 1K8",NA,NA,NA,NA,1,NA,City Owned
"36 Greenfield Avenue, Toronto, ON, M2N 3C8",1,NA,NA,NA,1,NA,Owned by others
"123 Guildwood Parkway, Toronto, ON, M1E 4V2",NA,NA,NA,1,NA,NA,City Operated
"349 Kenneth Avenue, Toronto, ON, M2N 4V9",1,NA,NA,NA,1,NA,Owned by others
"34 Parkview Avenue, Toronto, ON, M2N 3Y2",NA,1,NA,NA,NA,1,City Owned
"100 Princess Avenue, Toronto, ON, M2N 3R7",1,NA,NA,NA,1,NA,Owned by others
"80 Sheppard Avenue East, Toronto, ON, M2N 6E8",1,NA,NA,NA,1,NA,Owned by others
"432 Sheppard Avenue East, Toronto, ON, M2N 3B7",1,NA,NA,NA,1,NA,Owned by others
"95 Sheppard Avenue West, Toronto, ON, M2N 1M4",NA,1,NA,NA,NA,NA,Owned by others
"185 Sheppard Avenue West, Toronto, ON, M2N 1M9",1,1,NA,NA,NA,NA,Owned by others
"112 Spring Garden Avenue, Toronto, ON, M2N 3G3",1,NA,NA,NA,1,NA,Owned by others
"4950 Yonge Street, Toronto, ON, M2N 6K1",1,NA,NA,NA,NA,NA,Owned by others
"5040 Yonge Street, Toronto, ON, M2N 6R8",1,NA,NA,NA,1,NA,City Owned
"5100 Yonge Street, Toronto, ON, M2N 5V7",1,NA,NA,NA,1,NA,City Owned
"5110 Yonge Street, Toronto, ON, M2N 5V7",1,NA,NA,NA,1,NA,City Owned
"5120 Yonge Street, Toronto, ON, M2N 5N9",1,1,NA,1,1,NA,City Owned
"5172 Yonge Street, Toronto, ON, M2N 5P6",NA,1,NA,NA,NA,1,City Owned
"5350 Yonge Street, Toronto, ON, M2N 2N1",1,NA,NA,NA,1,NA,Owned by others
"2901 Bayview Avenue, Toronto, ON, M2K 1E6",NA,NA,NA,1,NA,NA,City operated
"3125 Bayview Avenue, Toronto, ON, M2K 1G2",1,NA,NA,NA,1,NA,Owned by others
"233 Cummer Avenue, Toronto, ON, M2M 2E8",1,NA,NA,NA,1,NA,Owned by others
"288 Cummer Avenue, Toronto, ON, M2M 2E7",1,NA,NA,NA,1,NA,Owned by others
"1650 Finch Avenue East, Toronto, ON, M2J 4X9",1,NA,NA,NA,1,NA,City Owned
"43 Forest Grove Drive, Toronto, ON, M2K 1Z4",1,NA,NA,NA,1,NA,Owned by others
"5801 Leslie Street, Toronto, ON, M2H 1J8",1,NA,NA,1,NA,NA,City Owned
"6000 Leslie Street, Toronto, ON, M2H 1J9",NA,NA,NA,NA,1,NA,City Owned
"1700 Finch Avenue East, Toronto, ON, M2J 4X8",NA,NA,NA,NA,1,NA,City Owned
"120 Banbury Road, Toronto, ON, M3B 2L3 
",NA,NA,NA,NA,1,NA,City Owned
"300 Banbury Road, Toronto, ON, M2L 2V3",1,NA,NA,NA,NA,NA,Owned by others
"375 Banbury Road, Toronto, ON, M2L 2V2",1,NA,NA,NA,NA,NA,Owned by others
"2180 Bayview Avenue, Toronto, ON, M4N 3K7",1,NA,NA,NA,NA,NA,Owned by others
"2275 Bayview Avenue, Toronto, ON, M4N 3M6",1,1,1,NA,1,NA,Owned by others
"2365 Bayview Avenue, Toronto, ON, M2L 1A2",1,NA,NA,NA,1,NA,Owned by others
"2489 Bayview Avenue, Toronto, ON, M2L 1A8",NA,NA,1,NA,NA,NA,City Owned
"2609 Bayview Avenue, Toronto, ON, M2L 1B5",1,NA,NA,NA,NA,NA,Owned by others
"2640 Bayview Avenue, Toronto, ON, M2L 1B7",1,NA,NA,NA,NA,NA,Owned by others
"2737 Bayview Avenue, Toronto, ON, M2L 1C5",1,NA,NA,NA,NA,NA,Owned by others
"80 Blythwood Road, Toronto, ON, M4N 1A4",1,NA,NA,NA,NA,NA,Owned by others
"19 Don Ridge Drive, Toronto, ON, M2P 1H3",1,NA,NA,NA,NA,NA,Owned by others
"28 Fairlawn Avenue, Toronto, ON, M5M 1S7
",1,1,NA,NA,1,NA,Owned by others
"306 Lawrence Avenue East, Toronto, ON, M4N 1T7",NA,NA,NA,NA,1,NA,Owned by others
"777 Lawrence Avenue East, Toronto, ON, M3C 1P2",1,1,NA,NA,1,NA,Owned by others
"888 Lawrence Avenue East, Toronto, ON, M3C 1P6",1,NA,NA,1,NA,NA,City Owned
"1133 Leslie Street, Toronto, ON, M3C 2J6",1,NA,NA,NA,1,NA,Owned by others
"1300 Leslie Street, Toronto, ON, M3C 2K9",1,NA,NA,NA,NA,NA,Owned by others
"1901 Mount Pleasant Road, Toronto, ON, M4N 2W3",NA,NA,NA,NA,1,NA,Owned by others
"120 Old Colony Road, Toronto, ON, M2L 2K2",NA,NA,NA,NA,1,NA,Owned by others
"25 Old York Mills Road, Toronto, ON, M2P 1B5",1,NA,NA,NA,1,NA,Owned by others
