full_address,performance,exhibition_visual_arts,screen_based,library,multipurpose,heritage,ownership
"23 Grandravine Dr., Toronto, ON, M3J 1B3",1,1,NA,NA,1,NA,City Owned
"7 Hawksdale Road, Toronto, ON, M3K 1W3",1,NA,NA,NA,1,NA,Owned by others
"2793 Keele Street, Toronto, ON, M3M 2G3",1,NA,NA,1,NA,NA,City Owned
"2822 Keele Street, Toronto, ON, M3M 2G6",1,NA,NA,NA,1,NA,Owned by others
"100 Regent Road, Toronto, ON, M3K 1H1",1,NA,NA,NA,1,NA,Owned by others
"1430 Sheppard Avenue West, Toronto, ON, M3M 2W9",1,NA,NA,NA,1,NA,Owned by others
"956 Wilson Avenue, Toronto, ON, M3K 1E7",1,1,NA,NA,1,NA,Owned by others
"1906 Sheppard Avenue West, Toronto, ON, M3L 1Y7",NA,NA,NA,1,NA,NA,City Owned
"140 Antibes Drive, Toronto, ON, M2R 3J3",NA,NA,NA,NA,1,NA,City Owned
"4169 Bathurst Street, Toronto, ON, M3H 3P7",1,NA,NA,1,1,1,City Owned
"4588 Bathurst Street, Toronto, ON, M2R 1W6",1,1,NA,NA,1,1,Owned by others
"100 Elder Street, Toronto, ON, M3H 4M1",1,NA,NA,NA,1,NA,Owned by others
"550 Finch Avenue West, Toronto, ON, M2R 1N6",1,NA,NA,NA,1,NA,Owned by others
"578 Finch Avenue West, Toronto, ON, M2R 1N7",1,NA,NA,1,1,NA,City Owned
"465 Patricia Avenue, Toronto, ON, M2R 2N1",1,NA,NA,NA,1,NA,Owned by others
"18 Reiner Road, Toronto, ON, M3H 3P7",1,NA,NA,NA,1,NA,Owned by others
"201 Robert Hicks Drive, Toronto, ON, M2R 3R3",NA,1,NA,NA,NA,NA,Owned by others
"205 Wilmington Avenue, Toronto, ON, M3H 6B3",NA,NA,NA,NA,1,NA,City Owned
"5 Yeomans Road, Toronto, ON, M3H 2G7",1,NA,NA,NA,1,NA,Owned by others
"85 Cayuga Avenue, Toronto, ON, M6N 2G4",NA,NA,NA,NA,1,NA,City Owned
"4 Hollis Street, Toronto, ON, M6M 4P3",NA,NA,NA,NA,1,NA,City Owned
"19 John Street, Toronto, ON, M9N 1J2",1,1,NA,NA,NA,NA,Owned by others
"2 King Street, Toronto, ON, M9N 1K9",NA,NA,NA,1,1,1,City Operated
"171 Pellatt Avenue, Toronto, ON, M9N 2P5",NA,NA,NA,NA,1,NA,City Owned
"100 Pine Street, Toronto, ON, M9N 2Y9",1,NA,NA,NA,1,NA,Owned by others
"33 Pritchard Avenue, Toronto, ON, M9N 1T4",NA,NA,NA,NA,1,NA,City Operated
"11 Weston Road, Toronto, ON, M6N 5H2",1,NA,NA,NA,NA,NA,Owned by others
"1123 Weston Road, Toronto, ON, M6N 3S3",1,NA,NA,1,1,NA,City Operated
"1267 Weston Road, Toronto, ON, M6M 4P9",NA,NA,NA,NA,1,NA,Owned by others
"1765 Weston Road, Toronto, ON, M9N 1V5",NA,NA,NA,NA,1,NA,City Operated
"1775 Weston Road, Toronto, ON, M9N 1V5",NA,NA,NA,NA,1,NA,City Operated
"1844 Weston Road, Toronto, ON, M9N 1V5",NA,NA,NA,NA,1,NA,Owned by others
"1871 Weston Road, Toronto, ON, M9N 1V9",1,NA,NA,NA,1,NA,Owned by others
"1901 Weston Road, Toronto, ON, M9N 3P5",NA,NA,NA,NA,1,NA,City Operated
"8 Blackstone Street, Toronto, ON, M6L 3B7",1,NA,NA,NA,1,NA,Owned by others
"2468 Eglinton Avenue West, Unit 3, Toronto, ON, M6M 5E2 ",NA,NA,NA,NA,1,NA,Owned by others
"2690 Eglinton Avenue West, Toronto, ON, M6M 1T9",1,1,NA,NA,NA,NA,Owned by others
"2694 Eglinton Avenue West, Toronto, ON, M6M 1T9",NA,1,NA,NA,1,NA,City Owned
"2700 Eglinton Avenue West, Toronto, ON, M6M 1V1",NA,NA,NA,NA,1,NA,City Owned
"130 Industry Street, 19, Toronto, ON, M6M 5G3",1,NA,NA,NA,NA,NA,Owned by others
"91 Kersdale Avenue, Toronto, ON, M6M 1E4",NA,NA,NA,NA,1,NA,Owned by others
"1565 Lawrence Avenue West, Toronto, ON, M6L 1A8",NA,NA,NA,1,NA,NA,City Owned
"120 Trowell Avenue, Toronto, ON, M6M 1L7 ",1,NA,NA,1,NA,NA,City operated
"1651 Keele St., Toronto, ON, M6M 3W2",NA,NA,NA,NA,1,NA,Owned by others
"116 Industry St., Toronto, ON, M6M 4L8",NA,NA,NA,NA,1,NA,Owned by others
"2562 Eglinton Avenue West, Suite 202, Toronto, ON, M6M 1T4",NA,NA,NA,NA,1,NA,Owned by others
"1700 Keele St., Toronto, ON, M6M 3W5",NA,NA,NA,NA,1,NA,Owned by others
"1652 Keele St., Toronto, ON, M6M 3W3",NA,NA,NA,NA,1,NA,City Owned
"116 Cornelius Parkway, Toronto, ON, M6L 2K5",NA,NA,NA,NA,1,NA,Owned by others
"490 Queens Drive, Toronto, ON, M6L 1M8",NA,NA,NA,NA,1,NA,Owned by others
